,answer,token_usage
0,30.0,788
1,30.0,850
2,30.0,597
3,15.0,786
4,15.0,1362
5,30.0,850
6,15.0,1106
7,55.0,725
8,30.0,658
9,30.0,1042
10,10.0,1685
11,30.0,917
12,30.0,789
13,30.0,658
14,25.0,917
15,30.0,725
16,55.0,1042
17,30.0,273
18,15.0,530
19,245.0,401
20,30.0,853
21,15.0,658
22,15.0,1042
23,30.0,1429
24,15.0,977
25,55.0,786
26,245.0,917
27,30.0,914
28,10.0,596
29,15.0,466
30,15.0,853
31,30.0,402
32,30.0,1429
33,55.0,1045
34,15.0,850
35,30.0,1106
36,30.0,658
37,60.0,1172
38,30.0,1621
39,15.0,786

